"행정구역","2022년09월_계_총인구수","2022년09월_계_연령구간인구수","2022년09월_계_0세","2022년09월_계_1세","2022년09월_계_2세","2022년09월_계_3세","2022년09월_계_4세","2022년09월_계_5세","2022년09월_계_6세","2022년09월_계_7세","2022년09월_계_8세","2022년09월_계_9세","2022년09월_계_10세","2022년09월_계_11세","2022년09월_계_12세","2022년09월_계_13세","2022년09월_계_14세","2022년09월_계_15세","2022년09월_계_16세","2022년09월_계_17세","2022년09월_계_18세","2022년09월_계_19세","2022년09월_계_20세","2022년09월_계_21세","2022년09월_계_22세","2022년09월_계_23세","2022년09월_계_24세","2022년09월_계_25세","2022년09월_계_26세","2022년09월_계_27세","2022년09월_계_28세","2022년09월_계_29세","2022년09월_계_30세","2022년09월_계_31세","2022년09월_계_32세","2022년09월_계_33세","2022년09월_계_34세","2022년09월_계_35세","2022년09월_계_36세","2022년09월_계_37세","2022년09월_계_38세","2022년09월_계_39세","2022년09월_계_40세","2022년09월_계_41세","2022년09월_계_42세","2022년09월_계_43세","2022년09월_계_44세","2022년09월_계_45세","2022년09월_계_46세","2022년09월_계_47세","2022년09월_계_48세","2022년09월_계_49세","2022년09월_계_50세","2022년09월_계_51세","2022년09월_계_52세","2022년09월_계_53세","2022년09월_계_54세","2022년09월_계_55세","2022년09월_계_56세","2022년09월_계_57세","2022년09월_계_58세","2022년09월_계_59세","2022년09월_계_60세","2022년09월_계_61세","2022년09월_계_62세","2022년09월_계_63세","2022년09월_계_64세","2022년09월_계_65세","2022년09월_계_66세","2022년09월_계_67세","2022년09월_계_68세","2022년09월_계_69세","2022년09월_계_70세","2022년09월_계_71세","2022년09월_계_72세","2022년09월_계_73세","2022년09월_계_74세","2022년09월_계_75세","2022년09월_계_76세","2022년09월_계_77세","2022년09월_계_78세","2022년09월_계_79세","2022년09월_계_80세","2022년09월_계_81세","2022년09월_계_82세","2022년09월_계_83세","2022년09월_계_84세","2022년09월_계_85세","2022년09월_계_86세","2022년09월_계_87세","2022년09월_계_88세","2022년09월_계_89세","2022년09월_계_90세","2022년09월_계_91세","2022년09월_계_92세","2022년09월_계_93세","2022년09월_계_94세","2022년09월_계_95세","2022년09월_계_96세","2022년09월_계_97세","2022년09월_계_98세","2022년09월_계_99세","2022년09월_계_100세 이상","2022년09월_남_총인구수","2022년09월_남_연령구간인구수","2022년09월_남_0세","2022년09월_남_1세","2022년09월_남_2세","2022년09월_남_3세","2022년09월_남_4세","2022년09월_남_5세","2022년09월_남_6세","2022년09월_남_7세","2022년09월_남_8세","2022년09월_남_9세","2022년09월_남_10세","2022년09월_남_11세","2022년09월_남_12세","2022년09월_남_13세","2022년09월_남_14세","2022년09월_남_15세","2022년09월_남_16세","2022년09월_남_17세","2022년09월_남_18세","2022년09월_남_19세","2022년09월_남_20세","2022년09월_남_21세","2022년09월_남_22세","2022년09월_남_23세","2022년09월_남_24세","2022년09월_남_25세","2022년09월_남_26세","2022년09월_남_27세","2022년09월_남_28세","2022년09월_남_29세","2022년09월_남_30세","2022년09월_남_31세","2022년09월_남_32세","2022년09월_남_33세","2022년09월_남_34세","2022년09월_남_35세","2022년09월_남_36세","2022년09월_남_37세","2022년09월_남_38세","2022년09월_남_39세","2022년09월_남_40세","2022년09월_남_41세","2022년09월_남_42세","2022년09월_남_43세","2022년09월_남_44세","2022년09월_남_45세","2022년09월_남_46세","2022년09월_남_47세","2022년09월_남_48세","2022년09월_남_49세","2022년09월_남_50세","2022년09월_남_51세","2022년09월_남_52세","2022년09월_남_53세","2022년09월_남_54세","2022년09월_남_55세","2022년09월_남_56세","2022년09월_남_57세","2022년09월_남_58세","2022년09월_남_59세","2022년09월_남_60세","2022년09월_남_61세","2022년09월_남_62세","2022년09월_남_63세","2022년09월_남_64세","2022년09월_남_65세","2022년09월_남_66세","2022년09월_남_67세","2022년09월_남_68세","2022년09월_남_69세","2022년09월_남_70세","2022년09월_남_71세","2022년09월_남_72세","2022년09월_남_73세","2022년09월_남_74세","2022년09월_남_75세","2022년09월_남_76세","2022년09월_남_77세","2022년09월_남_78세","2022년09월_남_79세","2022년09월_남_80세","2022년09월_남_81세","2022년09월_남_82세","2022년09월_남_83세","2022년09월_남_84세","2022년09월_남_85세","2022년09월_남_86세","2022년09월_남_87세","2022년09월_남_88세","2022년09월_남_89세","2022년09월_남_90세","2022년09월_남_91세","2022년09월_남_92세","2022년09월_남_93세","2022년09월_남_94세","2022년09월_남_95세","2022년09월_남_96세","2022년09월_남_97세","2022년09월_남_98세","2022년09월_남_99세","2022년09월_남_100세 이상","2022년09월_여_총인구수","2022년09월_여_연령구간인구수","2022년09월_여_0세","2022년09월_여_1세","2022년09월_여_2세","2022년09월_여_3세","2022년09월_여_4세","2022년09월_여_5세","2022년09월_여_6세","2022년09월_여_7세","2022년09월_여_8세","2022년09월_여_9세","2022년09월_여_10세","2022년09월_여_11세","2022년09월_여_12세","2022년09월_여_13세","2022년09월_여_14세","2022년09월_여_15세","2022년09월_여_16세","2022년09월_여_17세","2022년09월_여_18세","2022년09월_여_19세","2022년09월_여_20세","2022년09월_여_21세","2022년09월_여_22세","2022년09월_여_23세","2022년09월_여_24세","2022년09월_여_25세","2022년09월_여_26세","2022년09월_여_27세","2022년09월_여_28세","2022년09월_여_29세","2022년09월_여_30세","2022년09월_여_31세","2022년09월_여_32세","2022년09월_여_33세","2022년09월_여_34세","2022년09월_여_35세","2022년09월_여_36세","2022년09월_여_37세","2022년09월_여_38세","2022년09월_여_39세","2022년09월_여_40세","2022년09월_여_41세","2022년09월_여_42세","2022년09월_여_43세","2022년09월_여_44세","2022년09월_여_45세","2022년09월_여_46세","2022년09월_여_47세","2022년09월_여_48세","2022년09월_여_49세","2022년09월_여_50세","2022년09월_여_51세","2022년09월_여_52세","2022년09월_여_53세","2022년09월_여_54세","2022년09월_여_55세","2022년09월_여_56세","2022년09월_여_57세","2022년09월_여_58세","2022년09월_여_59세","2022년09월_여_60세","2022년09월_여_61세","2022년09월_여_62세","2022년09월_여_63세","2022년09월_여_64세","2022년09월_여_65세","2022년09월_여_66세","2022년09월_여_67세","2022년09월_여_68세","2022년09월_여_69세","2022년09월_여_70세","2022년09월_여_71세","2022년09월_여_72세","2022년09월_여_73세","2022년09월_여_74세","2022년09월_여_75세","2022년09월_여_76세","2022년09월_여_77세","2022년09월_여_78세","2022년09월_여_79세","2022년09월_여_80세","2022년09월_여_81세","2022년09월_여_82세","2022년09월_여_83세","2022년09월_여_84세","2022년09월_여_85세","2022년09월_여_86세","2022년09월_여_87세","2022년09월_여_88세","2022년09월_여_89세","2022년09월_여_90세","2022년09월_여_91세","2022년09월_여_92세","2022년09월_여_93세","2022년09월_여_94세","2022년09월_여_95세","2022년09월_여_96세","2022년09월_여_97세","2022년09월_여_98세","2022년09월_여_99세","2022년09월_여_100세 이상"
"부산광역시  (2600000000)","3,323,826","3,323,826","13,606","14,938","16,243","17,733","20,081","22,226","25,454","26,470","26,276","26,546","28,253","28,141","25,931","25,418","26,639","26,562","24,470","24,819","27,267","27,953","29,791","35,862","40,031","38,998","41,252","42,088","43,233","42,650","43,401","43,688","44,031","40,355","39,502","38,081","36,617","36,626","37,481","38,377","41,302","46,179","50,702","52,700","53,535","49,480","45,992","45,406","44,465","48,345","52,744","53,414","54,050","57,312","56,094","57,249","56,622","53,420","52,498","52,392","49,757","57,184","57,124","65,868","64,482","58,776","55,852","56,516","52,304","54,852","44,855","41,280","43,264","34,072","34,888","35,074","33,829","31,531","22,388","23,633","23,369","24,491","24,124","19,868","17,319","15,980","12,998","11,432","9,528","8,384","6,579","5,017","4,239","3,001","2,361","2,003","1,553","1,071","596","463","285","255","390","1,623,784","1,623,784","6,939","7,671","8,405","8,986","10,337","11,343","13,013","13,609","13,514","13,593","14,555","14,288","13,459","13,076","13,695","13,549","12,681","12,773","14,010","14,420","15,111","18,314","20,598","20,161","21,298","21,602","22,573","22,177","22,509","22,995","22,694","20,959","20,567","19,722","18,736","18,584","19,359","19,632","21,026","23,368","25,623","26,893","27,140","24,828","23,463","23,068","22,485","24,215","26,499","26,442","27,109","28,279","27,650","27,935","27,548","25,559","25,908","25,001","24,114","27,715","27,408","30,797","30,166","27,908","26,523","26,791","24,498","25,412","21,448","19,034","20,122","15,693","16,019","15,854","15,261","14,123","10,245","10,470","10,150","10,450","10,096","7,994","6,738","6,042","4,735","4,019","3,123","2,492","1,926","1,377","1,067","725","503","443","272","161","108","59","45","41","71","1,700,042","1,700,042","6,667","7,267","7,838","8,747","9,744","10,883","12,441","12,861","12,762","12,953","13,698","13,853","12,472","12,342","12,944","13,013","11,789","12,046","13,257","13,533","14,680","17,548","19,433","18,837","19,954","20,486","20,660","20,473","20,892","20,693","21,337","19,396","18,935","18,359","17,881","18,042","18,122","18,745","20,276","22,811","25,079","25,807","26,395","24,652","22,529","22,338","21,980","24,130","26,245","26,972","26,941","29,033","28,444","29,314","29,074","27,861","26,590","27,391","25,643","29,469","29,716","35,071","34,316","30,868","29,329","29,725","27,806","29,440","23,407","22,246","23,142","18,379","18,869","19,220","18,568","17,408","12,143","13,163","13,219","14,041","14,028","11,874","10,581","9,938","8,263","7,413","6,405","5,892","4,653","3,640","3,172","2,276","1,858","1,560","1,281","910","488","404","240","214","319"
"부산광역시 중구 (2611000000)","40,117","40,117","81","64","74","78","89","118","111","136","153","139","170","168","163","167","172","164","178","176","211","268","320","417","537","537","650","643","692","678","671","658","673","581","473","425","411","381","369","400","353","430","450","463","498","439","439","431","457","529","548","644","641","685","662","714","669","626","634","623","577","748","758","832","852","805","825","844","733","879","679","631","661","533","569","565","547","488","397","409","420","427","428","361","292","291","230","186","162","126","116","80","78","54","54","39","44","19","15","6","4","14","8","19,503","19,503","46","29","38","42","59","60","61","80","71","68","91","85","76","95","82","77","96","85","106","124","147","203","231","232","284","283","338","370","338","325","359","329","256","233","231","194","189","216","174","221","260","261","271","244","231","230","250","283","304","352","358","348","338","392","345","314","323","304","304","383","365","384","409","402","383","391","343","414","345","282","304","231","245","244","217","215","173","171","186","185","158","146","116","109","79","54","56","34","35","25","25","19","15","9","6","5","0","0","2","1","1","20,614","20,614","35","35","36","36","30","58","50","56","82","71","79","83","87","72","90","87","82","91","105","144","173","214","306","305","366","360","354","308","333","333","314","252","217","192","180","187","180","184","179","209","190","202","227","195","208","201","207","246","244","292","283","337","324","322","324","312","311","319","273","365","393","448","443","403","442","453","390","465","334","349","357","302","324","321","330","273","224","238","234","242","270","215","176","182","151","132","106","92","81","55","53","35","39","30","38","14","15","6","2","13","7"
"부산광역시 서구 (2614000000)","105,380","105,380","328","388","392","455","461","565","649","679","662","662","722","751","676","666","690","705","666","661","805","830","910","1,161","1,322","1,304","1,406","1,378","1,406","1,246","1,292","1,256","1,249","1,035","1,102","1,012","979","939","902","1,046","1,072","1,242","1,385","1,451","1,548","1,383","1,247","1,283","1,248","1,397","1,555","1,685","1,646","1,735","1,707","1,770","1,706","1,675","1,648","1,647","1,637","1,871","1,831","2,211","2,283","2,036","1,932","1,953","1,859","2,002","1,698","1,502","1,667","1,342","1,400","1,397","1,316","1,298","932","969","1,038","1,076","1,056","888","797","750","587","528","461","408","271","235","199","126","107","98","70","66","18","31","18","13","15","50,917","50,917","180","213","186","237","225","286","354","372","338","371","363","386","343","352","339","364","343","325","403","411","437","524","649","626","659","663","710","600","660","647","632","539","581","518","521","480","492","521","529","627","679","766","796","741","620","647","673","722","798","866","863","872","899","905","881","892","834","797","818","960","935","1,042","1,076","931","924","911","880","884","791","701","773","594","636","611","574","585","402","404","445","418","429","348","298","268","208","204","163","129","88","67","54","21","26","22","7","8","4","7","3","5","6","54,463","54,463","148","175","206","218","236","279","295","307","324","291","359","365","333","314","351","341","323","336","402","419","473","637","673","678","747","715","696","646","632","609","617","496","521","494","458","459","410","525","543","615","706","685","752","642","627","636","575","675","757","819","783","863","808","865","825","783","814","850","819","911","896","1,169","1,207","1,105","1,008","1,042","979","1,118","907","801","894","748","764","786","742","713","530","565","593","658","627","540","499","482","379","324","298","279","183","168","145","105","81","76","63","58","14","24","15","8","9"
"부산광역시 동구 (2617000000)","87,103","87,103","373","356","316","341","345","420","426","454","420","435","485","447","430","395","469","520","428","433","535","563","611","803","860","835","985","1,080","1,172","1,153","1,222","1,249","1,266","1,183","1,148","1,023","954","949","935","951","1,022","1,104","1,152","1,159","1,157","1,159","1,034","1,037","1,019","1,146","1,282","1,287","1,414","1,451","1,419","1,545","1,421","1,413","1,350","1,318","1,264","1,460","1,523","1,791","1,803","1,676","1,585","1,720","1,568","1,640","1,350","1,298","1,417","1,172","1,137","1,217","1,184","1,078","805","880","903","929","954","787","690","649","504","457","421","334","244","208","170","112","71","73","64","42","25","7","8","6","18","42,590","42,590","173","197","164","174","200","219","218","239","201","235","252","240","216","195","245","263","218","229","280","287","318","414","386","423","502","500","558","592","606","661","639","598","607","540","513","486","507","507","544","603","612","652","633","637","555","549","565","627","656","677","768","748","780","799","743","706","709","680","639","718","739","840","869","815","769","834","738","732","633","597","634","540","523","529","518","445","359","338","376","390","378","290","243","228","170","166","143","87","64","62","39","24","21","15","16","4","8","2","2","2","6","44,513","44,513","200","159","152","167","145","201","208","215","219","200","233","207","214","200","224","257","210","204","255","276","293","389","474","412","483","580","614","561","616","588","627","585","541","483","441","463","428","444","478","501","540","507","524","522","479","488","454","519","626","610","646","703","639","746","678","707","641","638","625","742","784","951","934","861","816","886","830","908","717","701","783","632","614","688","666","633","446","542","527","539","576","497","447","421","334","291","278","247","180","146","131","88","50","58","48","38","17","5","6","4","12"
"부산광역시 영도구 (2620000000)","108,699","108,699","291","305","347","381","462","474","570","562","615","602","677","706","667","631","670","697","674","641","782","744","841","1,021","1,144","1,041","1,164","1,115","1,123","1,096","1,100","1,111","1,149","1,013","966","916","910","885","922","1,003","1,056","1,196","1,310","1,431","1,448","1,333","1,282","1,238","1,308","1,476","1,677","1,677","1,728","1,793","1,755","1,819","1,893","1,797","1,835","1,774","1,679","1,996","2,109","2,531","2,461","2,304","2,241","2,252","2,201","2,368","1,925","1,737","1,908","1,547","1,616","1,665","1,586","1,595","1,135","1,203","1,141","1,279","1,248","1,048","913","819","614","561","467","394","331","229","202","131","106","102","64","58","31","18","9","15","16","53,519","53,519","144","152","178","181","235","238","278","304","326","298","362","341","344","324","347","360","339","320","384","413","447","546","645","567","660","605","618","583","624","631","673","519","533","486","488","487","517","533","571","636","686","742","757","671","680","669","677","767","881","862","909","960","915","902","998","945","1,001","856","856","1,005","1,030","1,219","1,203","1,105","1,099","1,086","1,029","1,070","943","783","888","691","725","747","700","696","489","516","466","528","498","419","314","290","240","171","158","121","104","55","53","43","19","17","6","10","5","2","1","3","1","55,180","55,180","147","153","169","200","227","236","292","258","289","304","315","365","323","307","323","337","335","321","398","331","394","475","499","474","504","510","505","513","476","480","476","494","433","430","422","398","405","470","485","560","624","689","691","662","602","569","631","709","796","815","819","833","840","917","895","852","834","918","823","991","1,079","1,312","1,258","1,199","1,142","1,166","1,172","1,298","982","954","1,020","856","891","918","886","899","646","687","675","751","750","629","599","529","374","390","309","273","227","174","149","88","87","85","58","48","26","16","8","12","15"
"부산광역시 부산진구 (2623000000)","351,125","351,125","1,402","1,491","1,537","1,613","1,913","1,954","2,261","2,323","2,275","2,245","2,454","2,444","2,252","2,207","2,372","2,346","2,210","2,230","2,594","2,790","3,063","4,065","4,717","4,773","5,197","5,470","5,739","5,716","5,758","5,832","5,741","5,245","4,935","4,702","4,392","4,296","4,175","4,231","4,368","4,786","5,121","5,104","5,241","4,905","4,466","4,449","4,416","4,822","5,369","5,354","5,529","5,844","5,710","5,748","5,746","5,384","5,360","5,517","5,111","5,821","5,924","6,895","6,745","6,162","5,858","5,882","5,488","5,631","4,646","4,275","4,461","3,584","3,675","3,729","3,531","3,339","2,318","2,522","2,489","2,620","2,731","2,209","1,964","1,813","1,414","1,272","1,040","895","691","552","453","323","226","206","151","105","48","44","30","17","36","168,896","168,896","709","743","802","795","1,030","982","1,152","1,163","1,161","1,126","1,216","1,213","1,164","1,137","1,167","1,175","1,124","1,130","1,346","1,398","1,447","1,942","2,251","2,240","2,440","2,559","2,768","2,780","2,780","3,002","2,830","2,622","2,539","2,398","2,264","2,192","2,168","2,208","2,259","2,415","2,631","2,627","2,666","2,455","2,363","2,229","2,207","2,439","2,723","2,657","2,740","2,863","2,873","2,810","2,756","2,531","2,590","2,638","2,506","2,838","2,789","3,230","3,050","2,859","2,732","2,794","2,579","2,642","2,228","1,920","2,068","1,644","1,688","1,689","1,555","1,461","1,022","1,067","1,074","1,096","1,081","890","759","669","498","434","343","285","237","162","137","78","53","43","28","10","7","4","3","4","5","182,229","182,229","693","748","735","818","883","972","1,109","1,160","1,114","1,119","1,238","1,231","1,088","1,070","1,205","1,171","1,086","1,100","1,248","1,392","1,616","2,123","2,466","2,533","2,757","2,911","2,971","2,936","2,978","2,830","2,911","2,623","2,396","2,304","2,128","2,104","2,007","2,023","2,109","2,371","2,490","2,477","2,575","2,450","2,103","2,220","2,209","2,383","2,646","2,697","2,789","2,981","2,837","2,938","2,990","2,853","2,770","2,879","2,605","2,983","3,135","3,665","3,695","3,303","3,126","3,088","2,909","2,989","2,418","2,355","2,393","1,940","1,987","2,040","1,976","1,878","1,296","1,455","1,415","1,524","1,650","1,319","1,205","1,144","916","838","697","610","454","390","316","245","173","163","123","95","41","40","27","13","31"
"부산광역시 동래구 (2626000000)","274,136","274,136","1,251","1,358","1,506","1,686","1,784","2,102","2,387","2,542","2,562","2,525","2,719","2,726","2,584","2,476","2,619","2,614","2,392","2,309","2,542","2,483","2,491","2,882","3,052","2,964","3,062","3,188","3,243","3,244","3,249","3,352","3,397","3,127","3,107","3,121","2,977","2,982","3,217","3,254","3,548","4,089","4,455","4,577","4,857","4,467","4,114","3,984","4,016","4,341","4,666","4,579","4,685","4,851","4,664","4,708","4,496","4,297","4,070","4,106","3,749","4,324","4,409","4,980","4,941","4,605","4,243","4,390","4,051","4,353","3,533","3,255","3,376","2,769","2,777","2,717","2,647","2,422","1,748","1,819","1,809","1,776","1,793","1,477","1,290","1,131","893","821","716","622","482","379","293","222","202","142","104","85","46","41","16","18","24","132,849","132,849","628","694","810","847","898","1,036","1,245","1,294","1,327","1,314","1,427","1,382","1,379","1,264","1,384","1,341","1,249","1,205","1,324","1,277","1,305","1,506","1,597","1,550","1,498","1,586","1,693","1,691","1,619","1,770","1,736","1,599","1,549","1,624","1,466","1,506","1,630","1,661","1,731","1,983","2,133","2,338","2,399","2,156","2,035","1,957","1,911","2,115","2,313","2,224","2,353","2,368","2,274","2,279","2,204","2,013","1,958","1,902","1,736","2,037","2,029","2,256","2,265","2,152","1,993","2,081","1,810","1,931","1,674","1,438","1,568","1,254","1,258","1,255","1,194","1,120","820","879","804","768","772","620","543","462","326","317","253","174","135","98","78","61","46","29","17","17","5","10","2","2","3","141,287","141,287","623","664","696","839","886","1,066","1,142","1,248","1,235","1,211","1,292","1,344","1,205","1,212","1,235","1,273","1,143","1,104","1,218","1,206","1,186","1,376","1,455","1,414","1,564","1,602","1,550","1,553","1,630","1,582","1,661","1,528","1,558","1,497","1,511","1,476","1,587","1,593","1,817","2,106","2,322","2,239","2,458","2,311","2,079","2,027","2,105","2,226","2,353","2,355","2,332","2,483","2,390","2,429","2,292","2,284","2,112","2,204","2,013","2,287","2,380","2,724","2,676","2,453","2,250","2,309","2,241","2,422","1,859","1,817","1,808","1,515","1,519","1,462","1,453","1,302","928","940","1,005","1,008","1,021","857","747","669","567","504","463","448","347","281","215","161","156","113","87","68","41","31","14","16","21"
"부산광역시 남구 (2629000000)","257,934","257,934","795","952","1,069","1,225","1,430","1,635","1,957","2,050","2,093","2,144","2,334","2,275","2,274","2,121","2,185","2,302","2,085","2,143","2,277","2,550","2,710","3,310","3,923","3,714","3,672","3,531","3,319","3,180","3,010","3,000","2,989","2,655","2,598","2,520","2,278","2,495","2,572","2,616","2,889","3,342","3,713","4,023","4,085","3,934","3,676","3,650","3,536","3,973","4,390","4,411","4,381","4,700","4,442","4,498","4,296","3,985","3,872","3,756","3,675","4,072","4,103","4,580","4,770","4,347","4,204","4,345","3,981","4,209","3,433","3,232","3,421","2,753","2,920","2,896","2,729","2,618","1,850","2,018","2,080","2,175","1,999","1,614","1,446","1,309","1,110","912","786","668","530","367","332","219","179","155","119","90","41","42","17","17","31","125,901","125,901","410","477","543","622","765","810","989","1,085","1,061","1,101","1,157","1,120","1,199","1,076","1,154","1,225","1,060","1,116","1,179","1,243","1,275","1,586","2,008","2,000","2,085","1,974","1,859","1,689","1,609","1,585","1,604","1,401","1,350","1,327","1,168","1,255","1,323","1,332","1,457","1,677","1,848","2,020","2,048","1,910","1,822","1,792","1,749","2,069","2,226","2,211","2,248","2,279","2,196","2,279","2,121","1,942","1,916","1,808","1,840","1,941","1,893","2,121","2,170","2,022","1,949","1,996","1,785","1,894","1,621","1,487","1,527","1,239","1,293","1,304","1,220","1,158","832","873","890","908","901","680","598","527","437","351","255","205","162","116","83","56","39","33","21","7","6","7","4","6","4","132,033","132,033","385","475","526","603","665","825","968","965","1,032","1,043","1,177","1,155","1,075","1,045","1,031","1,077","1,025","1,027","1,098","1,307","1,435","1,724","1,915","1,714","1,587","1,557","1,460","1,491","1,401","1,415","1,385","1,254","1,248","1,193","1,110","1,240","1,249","1,284","1,432","1,665","1,865","2,003","2,037","2,024","1,854","1,858","1,787","1,904","2,164","2,200","2,133","2,421","2,246","2,219","2,175","2,043","1,956","1,948","1,835","2,131","2,210","2,459","2,600","2,325","2,255","2,349","2,196","2,315","1,812","1,745","1,894","1,514","1,627","1,592","1,509","1,460","1,018","1,145","1,190","1,267","1,098","934","848","782","673","561","531","463","368","251","249","163","140","122","98","83","35","35","13","11","27"
"부산광역시 북구 (2632000000)","279,964","279,964","1,255","1,339","1,423","1,477","1,720","1,861","2,106","2,123","2,087","2,098","2,212","2,199","2,006","2,212","2,162","2,155","2,084","2,229","2,314","2,403","2,590","3,052","3,318","3,164","3,361","3,514","3,598","3,674","3,665","3,652","3,868","3,504","3,446","3,331","3,171","3,143","3,051","3,168","3,308","3,564","3,948","4,050","4,013","3,888","3,532","3,576","3,440","3,869","4,170","4,465","4,345","4,861","4,924","5,313","5,361","5,172","5,192","5,182","4,885","5,684","5,529","6,535","6,050","5,455","4,969","4,978","4,473","4,687","3,746","3,280","3,417","2,638","2,784","2,618","2,496","2,344","1,689","1,657","1,646","1,812","1,827","1,418","1,219","1,126","926","791","704","635","510","365","324","221","148","137","108","70","43","38","24","20","30","137,948","137,948","654","690","700","779","859","975","1,061","1,116","1,081","1,077","1,167","1,151","1,045","1,095","1,114","1,063","1,147","1,166","1,224","1,291","1,335","1,627","1,806","1,696","1,819","1,839","1,919","1,948","1,941","1,940","2,019","1,915","1,822","1,723","1,599","1,636","1,560","1,700","1,754","1,888","2,028","2,036","2,058","1,940","1,791","1,873","1,724","1,906","2,044","2,088","2,052","2,275","2,310","2,485","2,425","2,394","2,482","2,429","2,329","2,761","2,697","3,198","2,937","2,708","2,447","2,458","2,185","2,227","1,806","1,614","1,667","1,273","1,344","1,188","1,111","1,063","795","762","707","778","778","561","445","414","316","266","218","177","144","88","64","36","26","26","16","13","11","2","6","2","3","142,016","142,016","601","649","723","698","861","886","1,045","1,007","1,006","1,021","1,045","1,048","961","1,117","1,048","1,092","937","1,063","1,090","1,112","1,255","1,425","1,512","1,468","1,542","1,675","1,679","1,726","1,724","1,712","1,849","1,589","1,624","1,608","1,572","1,507","1,491","1,468","1,554","1,676","1,920","2,014","1,955","1,948","1,741","1,703","1,716","1,963","2,126","2,377","2,293","2,586","2,614","2,828","2,936","2,778","2,710","2,753","2,556","2,923","2,832","3,337","3,113","2,747","2,522","2,520","2,288","2,460","1,940","1,666","1,750","1,365","1,440","1,430","1,385","1,281","894","895","939","1,034","1,049","857","774","712","610","525","486","458","366","277","260","185","122","111","92","57","32","36","18","18","27"
"부산광역시 해운대구 (2635000000)","388,393","388,393","1,461","1,665","1,932","2,109","2,401","2,607","3,083","3,356","3,263","3,521","3,630","3,734","3,545","3,478","3,759","3,714","3,506","3,496","3,732","3,579","3,718","4,327","4,502","4,299","4,418","4,456","4,632","4,517","4,581","4,548","4,609","4,203","4,085","4,059","4,007","4,024","4,184","4,243","4,769","5,231","5,924","6,229","6,538","6,068","5,745","5,885","5,826","6,236","6,862","6,848","7,158","7,586","7,277","7,288","7,057","6,556","6,291","6,306","5,957","6,934","6,495","7,298","7,041","6,399","6,227","6,136","5,777","5,870","4,763","4,394","4,575","3,439","3,625","3,747","3,586","3,295","2,232","2,542","2,488","2,577","2,477","2,166","1,820","1,768","1,508","1,305","1,064","957","738","611","490","344","287","230","205","126","73","54","31","34","45","186,392","186,392","769","841","998","1,072","1,222","1,355","1,576","1,720","1,670","1,880","1,875","1,919","1,835","1,797","1,907","1,903","1,801","1,782","1,902","1,883","1,988","2,308","2,382","2,288","2,290","2,258","2,399","2,346","2,398","2,304","2,329","2,109","2,037","2,005","1,979","1,931","2,031","2,028","2,332","2,495","2,889","3,006","3,071","2,821","2,786","2,891","2,861","2,924","3,167","3,270","3,428","3,582","3,467","3,495","3,351","3,043","3,010","2,963","2,825","3,270","3,137","3,368","3,305","3,033","2,945","2,848","2,784","2,690","2,320","1,996","2,068","1,585","1,641","1,646","1,646","1,456","999","1,130","1,097","1,033","977","826","704","666","542","443","334","290","229","170","121","84","62","54","37","26","9","6","5","4","12","202,001","202,001","692","824","934","1,037","1,179","1,252","1,507","1,636","1,593","1,641","1,755","1,815","1,710","1,681","1,852","1,811","1,705","1,714","1,830","1,696","1,730","2,019","2,120","2,011","2,128","2,198","2,233","2,171","2,183","2,244","2,280","2,094","2,048","2,054","2,028","2,093","2,153","2,215","2,437","2,736","3,035","3,223","3,467","3,247","2,959","2,994","2,965","3,312","3,695","3,578","3,730","4,004","3,810","3,793","3,706","3,513","3,281","3,343","3,132","3,664","3,358","3,930","3,736","3,366","3,282","3,288","2,993","3,180","2,443","2,398","2,507","1,854","1,984","2,101","1,940","1,839","1,233","1,412","1,391","1,544","1,500","1,340","1,116","1,102","966","862","730","667","509","441","369","260","225","176","168","100","64","48","26","30","33"
