행정구역,2022년11월_계_총인구수,2022년11월_계_연령구간인구수,2022년11월_계_0세,2022년11월_계_1세,2022년11월_계_2세,2022년11월_계_3세,2022년11월_계_4세,2022년11월_계_5세,2022년11월_계_6세,2022년11월_계_7세,2022년11월_계_8세,2022년11월_계_9세,2022년11월_계_10세,2022년11월_계_11세,2022년11월_계_12세,2022년11월_계_13세,2022년11월_계_14세,2022년11월_계_15세,2022년11월_계_16세,2022년11월_계_17세,2022년11월_계_18세,2022년11월_계_19세,2022년11월_계_20세,2022년11월_계_21세,2022년11월_계_22세,2022년11월_계_23세,2022년11월_계_24세,2022년11월_계_25세,2022년11월_계_26세,2022년11월_계_27세,2022년11월_계_28세,2022년11월_계_29세,2022년11월_계_30세,2022년11월_계_31세,2022년11월_계_32세,2022년11월_계_33세,2022년11월_계_34세,2022년11월_계_35세,2022년11월_계_36세,2022년11월_계_37세,2022년11월_계_38세,2022년11월_계_39세,2022년11월_계_40세,2022년11월_계_41세,2022년11월_계_42세,2022년11월_계_43세,2022년11월_계_44세,2022년11월_계_45세,2022년11월_계_46세,2022년11월_계_47세,2022년11월_계_48세,2022년11월_계_49세,2022년11월_계_50세,2022년11월_계_51세,2022년11월_계_52세,2022년11월_계_53세,2022년11월_계_54세,2022년11월_계_55세,2022년11월_계_56세,2022년11월_계_57세,2022년11월_계_58세,2022년11월_계_59세,2022년11월_계_60세,2022년11월_계_61세,2022년11월_계_62세,2022년11월_계_63세,2022년11월_계_64세,2022년11월_계_65세,2022년11월_계_66세,2022년11월_계_67세,2022년11월_계_68세,2022년11월_계_69세,2022년11월_계_70세,2022년11월_계_71세,2022년11월_계_72세,2022년11월_계_73세,2022년11월_계_74세,2022년11월_계_75세,2022년11월_계_76세,2022년11월_계_77세,2022년11월_계_78세,2022년11월_계_79세,2022년11월_계_80세,2022년11월_계_81세,2022년11월_계_82세,2022년11월_계_83세,2022년11월_계_84세,2022년11월_계_85세,2022년11월_계_86세,2022년11월_계_87세,2022년11월_계_88세,2022년11월_계_89세,2022년11월_계_90세,2022년11월_계_91세,2022년11월_계_92세,2022년11월_계_93세,2022년11월_계_94세,2022년11월_계_95세,2022년11월_계_96세,2022년11월_계_97세,2022년11월_계_98세,2022년11월_계_99세,2022년11월_계_100세 이상
부산광역시  (2600000000),3320276,3320276,13682,14977,15775,17526,19726,21822,24906,26678,26199,25989,28571,27704,26853,24998,26116,27298,24642,24473,26792,28593,29017,34510,40173,39227,40644,41549,42982,42610,43264,43258,43878,41778,38704,38192,36963,36642,37095,38203,40200,45664,50168,51999,53565,50884,45315,46162,44362,47993,51680,53374,53802,56822,56429,56714,57509,54220,51712,52683,50708,53537,59175,63815,65082,58929,56003,57120,52388,55657,46105,40920,44038,34650,34559,35111,33987,32130,24264,22085,23615,23314,25164,20105,17435,16197,13204,11477,9652,8401,6751,5084,4213,3117,2315,2022,1545,1129,617,474,271,245,400
부산광역시 중구 (2611000000),39840,39840,86,64,70,66,86,115,119,127,148,147,154,164,163,169,156,173,180,173,196,262,301,401,522,548,613,662,685,667,678,648,650,593,494,425,399,393,347,389,351,419,442,450,521,421,428,439,429,522,553,618,649,654,654,715,679,637,634,633,583,679,788,815,835,809,815,860,731,884,690,628,673,525,586,557,549,479,436,379,416,398,463,355,285,285,246,189,162,134,112,80,73,56,56,37,44,22,14,7,2,14,8
부산광역시 서구 (2614000000),105286,105286,337,381,408,435,467,540,657,671,668,653,734,735,712,626,681,729,672,653,779,849,864,1125,1324,1352,1354,1338,1401,1256,1298,1219,1286,1085,1075,1004,989,928,932,1009,1048,1216,1385,1423,1545,1435,1236,1285,1252,1352,1540,1656,1641,1736,1730,1748,1754,1685,1639,1635,1677,1741,1935,2111,2343,2000,1945,1939,1885,1993,1782,1464,1670,1377,1390,1402,1289,1330,1029,921,990,1067,1094,900,782,782,604,509,471,409,280,240,193,146,97,99,67,72,23,21,24,9,17
부산광역시 동구 (2617000000),86670,86670,359,369,318,330,332,395,437,444,427,420,475,455,439,397,442,522,432,440,504,571,588,772,827,878,940,1045,1168,1134,1224,1214,1275,1186,1067,1085,947,922,902,980,958,1121,1133,1150,1110,1185,1031,1036,1018,1153,1235,1298,1371,1444,1435,1506,1467,1425,1305,1353,1262,1388,1579,1717,1809,1656,1587,1733,1589,1643,1381,1277,1445,1185,1123,1194,1214,1094,861,793,926,881,1001,801,683,666,513,442,432,331,252,210,172,113,78,67,64,45,26,9,8,6,18
부산광역시 영도구 (2620000000),108294,108294,298,299,324,391,438,453,552,589,587,600,678,681,707,620,658,702,679,643,749,740,835,993,1112,1073,1132,1106,1099,1098,1099,1056,1173,1021,954,929,908,859,922,977,1022,1196,1326,1364,1446,1364,1276,1241,1316,1470,1589,1690,1706,1755,1781,1786,1922,1814,1817,1789,1672,1880,2175,2393,2508,2339,2197,2284,2181,2419,1984,1724,1915,1572,1588,1690,1560,1626,1208,1133,1147,1229,1287,1050,903,841,634,569,470,393,322,232,207,142,98,102,70,58,31,20,8,11,18
부산광역시 부산진구 (2623000000),355302,355302,1490,1597,1607,1716,1947,1999,2281,2373,2324,2245,2492,2450,2290,2214,2317,2441,2243,2219,2570,2804,3046,3936,4811,4773,5135,5492,5743,5750,5856,5837,5802,5604,4983,4888,4543,4472,4247,4419,4428,4909,5120,5227,5341,5067,4505,4471,4504,4812,5262,5408,5623,5828,5756,5773,5890,5471,5390,5551,5310,5454,6145,6719,6850,6254,5885,6011,5512,5774,4812,4248,4536,3697,3637,3725,3609,3383,2521,2353,2537,2510,2859,2236,1960,1825,1457,1287,1042,930,703,557,438,356,223,216,149,113,47,46,28,23,33
부산광역시 동래구 (2626000000),273447,273447,1221,1366,1446,1630,1750,2041,2349,2565,2527,2484,2767,2644,2720,2392,2596,2665,2429,2302,2504,2580,2456,2743,3067,3024,2985,3137,3234,3245,3218,3333,3343,3220,3029,3065,3023,3000,3123,3258,3392,3975,4474,4446,4825,4654,3990,4094,3978,4360,4573,4581,4664,4834,4637,4657,4598,4353,3968,4134,3872,4000,4580,4868,4892,4590,4311,4424,4059,4393,3601,3222,3464,2795,2734,2725,2712,2463,1829,1703,1836,1722,1839,1530,1308,1131,939,812,716,612,504,373,302,232,193,148,107,90,47,42,15,18,26
부산광역시 남구 (2629000000),256647,256647,799,951,1019,1185,1382,1624,1889,2058,2053,2121,2329,2245,2285,2091,2139,2394,2058,2088,2226,2602,2635,3181,3887,3769,3698,3460,3336,3184,2962,2991,2970,2745,2504,2495,2322,2468,2533,2592,2743,3269,3698,3906,4041,4015,3595,3670,3509,3914,4297,4441,4364,4610,4449,4470,4412,4003,3816,3755,3717,3839,4175,4449,4824,4317,4209,4331,4001,4238,3512,3176,3528,2770,2839,2894,2732,2658,1964,1905,2082,2091,2100,1586,1481,1316,1106,937,775,663,561,365,334,229,179,154,117,90,48,39,18,17,34
부산광역시 북구 (2632000000),279303,279303,1277,1346,1372,1468,1663,1827,2040,2151,2056,2075,2236,2142,2116,2112,2138,2204,2092,2200,2266,2485,2447,2962,3344,3103,3364,3394,3585,3633,3642,3652,3785,3667,3356,3396,3181,3114,3069,3124,3199,3520,3914,3961,4068,3967,3420,3660,3387,3819,4102,4410,4341,4756,4997,5198,5376,5264,5097,5175,5010,5297,5751,6317,6237,5434,5008,5045,4520,4740,3891,3255,3502,2671,2784,2601,2503,2393,1843,1578,1642,1708,1895,1455,1216,1150,960,755,721,628,533,388,300,237,145,144,102,77,44,38,18,22,30
부산광역시 해운대구 (2635000000),387297,387297,1437,1638,1872,2079,2353,2566,3016,3360,3271,3405,3722,3646,3634,3444,3669,3817,3481,3512,3640,3745,3593,4158,4532,4291,4373,4375,4612,4480,4561,4535,4592,4298,3996,4015,4022,3998,4121,4216,4634,5186,5800,6126,6495,6189,5689,5915,5824,6143,6747,6838,7081,7518,7400,7214,7118,6735,6140,6316,6093,6534,6712,7072,7113,6410,6235,6199,5754,6009,4859,4335,4682,3523,3565,3745,3591,3314,2422,2409,2502,2458,2588,2148,1875,1772,1503,1313,1118,950,748,630,491,355,278,236,197,138,74,52,33,30,49
