"행정구역","2022년10월_계_총인구수","2022년10월_계_연령구간인구수","2022년10월_계_0세","2022년10월_계_1세","2022년10월_계_2세","2022년10월_계_3세","2022년10월_계_4세","2022년10월_계_5세","2022년10월_계_6세","2022년10월_계_7세","2022년10월_계_8세","2022년10월_계_9세","2022년10월_계_10세","2022년10월_계_11세","2022년10월_계_12세","2022년10월_계_13세","2022년10월_계_14세","2022년10월_계_15세","2022년10월_계_16세","2022년10월_계_17세","2022년10월_계_18세","2022년10월_계_19세","2022년10월_계_20세","2022년10월_계_21세","2022년10월_계_22세","2022년10월_계_23세","2022년10월_계_24세","2022년10월_계_25세","2022년10월_계_26세","2022년10월_계_27세","2022년10월_계_28세","2022년10월_계_29세","2022년10월_계_30세","2022년10월_계_31세","2022년10월_계_32세","2022년10월_계_33세","2022년10월_계_34세","2022년10월_계_35세","2022년10월_계_36세","2022년10월_계_37세","2022년10월_계_38세","2022년10월_계_39세","2022년10월_계_40세","2022년10월_계_41세","2022년10월_계_42세","2022년10월_계_43세","2022년10월_계_44세","2022년10월_계_45세","2022년10월_계_46세","2022년10월_계_47세","2022년10월_계_48세","2022년10월_계_49세","2022년10월_계_50세","2022년10월_계_51세","2022년10월_계_52세","2022년10월_계_53세","2022년10월_계_54세","2022년10월_계_55세","2022년10월_계_56세","2022년10월_계_57세","2022년10월_계_58세","2022년10월_계_59세","2022년10월_계_60세","2022년10월_계_61세","2022년10월_계_62세","2022년10월_계_63세","2022년10월_계_64세","2022년10월_계_65세","2022년10월_계_66세","2022년10월_계_67세","2022년10월_계_68세","2022년10월_계_69세","2022년10월_계_70세","2022년10월_계_71세","2022년10월_계_72세","2022년10월_계_73세","2022년10월_계_74세","2022년10월_계_75세","2022년10월_계_76세","2022년10월_계_77세","2022년10월_계_78세","2022년10월_계_79세","2022년10월_계_80세","2022년10월_계_81세","2022년10월_계_82세","2022년10월_계_83세","2022년10월_계_84세","2022년10월_계_85세","2022년10월_계_86세","2022년10월_계_87세","2022년10월_계_88세","2022년10월_계_89세","2022년10월_계_90세","2022년10월_계_91세","2022년10월_계_92세","2022년10월_계_93세","2022년10월_계_94세","2022년10월_계_95세","2022년10월_계_96세","2022년10월_계_97세","2022년10월_계_98세","2022년10월_계_99세","2022년10월_계_100세 이상"
"부산광역시  (2600000000)","3,322,286","3,322,286","13,662","14,937","16,060","17,638","19,866","22,065","25,134","26,532","26,264","26,238","28,516","27,897","26,400","25,154","26,362","26,927","24,575","24,617","27,028","28,199","29,424","35,175","40,105","39,097","40,994","41,685","43,235","42,622","43,284","43,445","44,123","41,016","39,135","38,240","36,628","36,779","37,193","38,299","40,766","45,895","50,534","52,090","53,761","50,338","45,712","45,744","44,271","48,062","52,375","53,094","53,921","57,057","56,388","56,617","57,490","53,714","52,242","52,615","49,761","55,517","58,397","64,751","64,842","58,699","56,008","56,773","52,452","55,319","45,527","40,967","43,730","34,394","34,597","35,262","33,703","31,996","23,326","22,837","23,593","23,569","25,022","19,904","17,439","16,165","13,035","11,472","9,582","8,402","6,662","5,055","4,231","3,051","2,350","2,031","1,536","1,096","604","465","287","247","394"
"부산광역시 중구 (2611000000)","39,936","39,936","84","64","69","71","85","119","116","127","145","152","159","165","164","167","166","164","173","178","201","264","304","418","521","541","637","647","697","675","674","638","683","575","487","418","403","391","353","392","356","421","440","450","511","435","437","430","436","536","546","630","643","672","656","712","672","628","635","630","569","707","774","835","863","787","827","865","717","877","688","622","664","529","578","568","539","481","422","398","416","406","445","360","298","285","235","192","161","131","117","77","80","56","54","38","45","20","15","6","4","14","8"
"부산광역시 서구 (2614000000)","105,358","105,358","337","387","401","450","460","561","642","676","658","659","738","738","692","643","685","721","666","656","794","832","880","1,157","1,308","1,323","1,390","1,345","1,406","1,253","1,283","1,260","1,270","1,060","1,087","1,012","987","930","919","1,018","1,068","1,232","1,380","1,429","1,533","1,426","1,244","1,278","1,260","1,352","1,564","1,659","1,641","1,730","1,733","1,747","1,742","1,671","1,643","1,667","1,638","1,816","1,895","2,151","2,317","2,013","1,934","1,942","1,879","2,004","1,730","1,482","1,692","1,358","1,369","1,427","1,298","1,317","987","937","1,021","1,059","1,092","890","788","771","594","523","459","409","278","237","198","137","98","102","70","70","19","25","22","12","15"
"부산광역시 동구 (2617000000)","86,948","86,948","376","361","312","339","345","408","423","450","415","431","490","447","434","395","452","521","444","432","516","560","600","802","827","844","984","1,043","1,191","1,140","1,235","1,215","1,298","1,179","1,108","1,062","933","946","904","969","994","1,107","1,150","1,155","1,136","1,170","1,034","1,033","1,019","1,150","1,256","1,285","1,389","1,463","1,415","1,527","1,464","1,424","1,336","1,331","1,260","1,420","1,555","1,755","1,813","1,665","1,580","1,723","1,577","1,648","1,359","1,298","1,431","1,191","1,113","1,222","1,180","1,099","832","845","911","891","994","788","692","668","503","449","423","336","243","212","170","114","78","69","63","44","25","9","8","5","18"
"부산광역시 영도구 (2620000000)","108,505","108,505","283","309","340","386","455","457","559","574","609","603","668","706","690","627","657","705","670","642","763","750","830","999","1,131","1,057","1,162","1,105","1,102","1,095","1,115","1,078","1,164","1,016","950","926","913","874","919","996","1,036","1,198","1,314","1,400","1,475","1,327","1,288","1,247","1,290","1,482","1,650","1,660","1,738","1,769","1,771","1,790","1,917","1,817","1,814","1,782","1,651","1,948","2,164","2,434","2,486","2,306","2,246","2,255","2,195","2,403","1,960","1,721","1,899","1,568","1,597","1,696","1,555","1,625","1,164","1,162","1,162","1,239","1,283","1,048","909","816","616","569","475","395","323","228","209","130","101","104","70","55","34","16","9","14","15"
"부산광역시 부산진구 (2623000000)","353,568","353,568","1,442","1,551","1,595","1,684","1,947","1,979","2,261","2,349","2,317","2,237","2,494","2,464","2,260","2,205","2,340","2,391","2,245","2,212","2,595","2,811","3,051","3,972","4,800","4,760","5,144","5,514","5,720","5,727","5,808","5,823","5,817","5,404","4,972","4,852","4,462","4,406","4,218","4,360","4,381","4,888","5,139","5,177","5,293","5,046","4,453","4,467","4,460","4,816","5,337","5,329","5,599","5,822","5,770","5,748","5,815","5,431","5,416","5,522","5,164","5,675","6,051","6,819","6,784","6,207","5,861","5,934","5,504","5,712","4,744","4,237","4,503","3,637","3,617","3,765","3,566","3,373","2,434","2,441","2,512","2,512","2,840","2,217","1,959","1,830","1,429","1,289","1,034","918","692","561","441","336","229","214","143","110","46","47","31","17","35"
"부산광역시 동래구 (2626000000)","273,790","273,790","1,251","1,352","1,501","1,653","1,739","2,075","2,396","2,529","2,535","2,541","2,737","2,645","2,679","2,418","2,621","2,655","2,380","2,305","2,537","2,519","2,476","2,796","3,050","3,017","3,020","3,152","3,256","3,221","3,231","3,350","3,384","3,176","3,079","3,091","3,013","2,987","3,198","3,219","3,478","4,019","4,514","4,470","4,881","4,539","4,075","4,023","3,977","4,352","4,612","4,576","4,653","4,849","4,669","4,677","4,537","4,332","4,020","4,119","3,777","4,166","4,524","4,913","4,912","4,582","4,310","4,382","4,055","4,369","3,568","3,239","3,438","2,783","2,758","2,724","2,657","2,447","1,801","1,755","1,822","1,731","1,837","1,481","1,320","1,140","911","816","717","617","498","384","291","222","203","146","106","85","45","43","14","20","25"
"부산광역시 남구 (2629000000)","257,147","257,147","809","937","1,066","1,188","1,388","1,625","1,926","2,056","2,064","2,127","2,326","2,269","2,277","2,087","2,174","2,347","2,087","2,111","2,238","2,558","2,702","3,224","3,935","3,743","3,692","3,457","3,357","3,193","2,952","3,003","2,976","2,667","2,558","2,532","2,266","2,484","2,543","2,596","2,821","3,293","3,728","3,937","4,078","3,980","3,625","3,676","3,517","3,914","4,358","4,418","4,364","4,640","4,450","4,477","4,378","3,979","3,851","3,761","3,666","3,969","4,124","4,530","4,792","4,305","4,221","4,344","3,985","4,224","3,499","3,152","3,470","2,784","2,868","2,893","2,729","2,641","1,917","1,945","2,080","2,134","2,069","1,597","1,454","1,331","1,097","933","785","660","550","367","332","224","175","159","118","87","45","40","18","15","34"
"부산광역시 북구 (2632000000)","279,770","279,770","1,269","1,347","1,385","1,480","1,698","1,852","2,072","2,121","2,103","2,075","2,242","2,149","2,084","2,135","2,167","2,155","2,117","2,207","2,293","2,432","2,501","3,027","3,320","3,133","3,370","3,438","3,595","3,647","3,647","3,645","3,844","3,593","3,424","3,363","3,201","3,109","3,061","3,152","3,278","3,537","3,918","3,999","4,063","3,948","3,476","3,617","3,400","3,889","4,108","4,437","4,312","4,808","5,002","5,192","5,424","5,180","5,163","5,189","4,898","5,520","5,628","6,428","6,151","5,446","5,022","5,020","4,520","4,715","3,798","3,254","3,490","2,655","2,788","2,608","2,494","2,375","1,764","1,606","1,670","1,715","1,903","1,435","1,217","1,138","937","779","718","624","528","372","315","225","149","139","108","72","43","37","24","19","30"
"부산광역시 해운대구 (2635000000)","387,840","387,840","1,455","1,653","1,908","2,075","2,388","2,595","3,036","3,354","3,267","3,458","3,680","3,704","3,583","3,461","3,701","3,772","3,492","3,494","3,706","3,638","3,644","4,246","4,512","4,324","4,352","4,411","4,652","4,486","4,579","4,557","4,601","4,243","4,040","4,044","3,975","4,049","4,128","4,249","4,710","5,191","5,860","6,153","6,555","6,126","5,750","5,908","5,776","6,155","6,820","6,821","7,112","7,556","7,379","7,175","7,157","6,639","6,245","6,324","5,962","6,738","6,671","7,139","7,078","6,422","6,246","6,113","5,827","5,925","4,804","4,350","4,660","3,461","3,590","3,753","3,567","3,340","2,316","2,477","2,497","2,477","2,584","2,126","1,871","1,773","1,509","1,292","1,091","971","738","614","506","339","284","235","192","141","72","51","35","31","48"
